bk4mwys3xliu3x4k:[('https://grape.ics.uci.edu/wiki/asterix/wiki/cs122a-2018-spring?action=diff&version=95', 13.18405335445976), ('https://grape.ics.uci.edu/wiki/asterix/wiki/cs122a-2019-spring?version=5&format=txt', 7.786714295032299), ('https://grape.ics.uci.edu/wiki/asterix/wiki/cs122a-2018-spring?version=94&format=txt', 7.786714295032299), ('https://grape.ics.uci.edu/wiki/asterix/wiki/cs122a-2018-spring?version=97&format=txt', 7.786714295032299), ('https://grape.ics.uci.edu/wiki/asterix/wiki/cs122a-2018-spring?version=98&format=txt', 7.786714295032299), ('https://grape.ics.uci.edu/wiki/asterix/wiki/cs122a-2019-spring?version=2&format=txt', 7.786714295032299), ('https://grape.ics.uci.edu/wiki/asterix/wiki/cs122a-2018-spring?action=diff&version=97', 7.786714295032299), ('https://grape.ics.uci.edu/wiki/asterix/wiki/cs122a-2018-spring?version=90&format=txt', 7.786714295032299), ('https://grape.ics.uci.edu/wiki/asterix/wiki/cs122a-2019-spring?action=diff&version=6', 7.786714295032299), ('https://grape.ics.uci.edu/wiki/asterix/wiki/cs122a-2018-spring?version=99&format=txt', 7.786714295032299), ('https://grape.ics.uci.edu/wiki/asterix/wiki/cs122a-2018-spring?version=95&format=txt', 7.786714295032299), ('https://grape.ics.uci.edu/wiki/asterix/wiki/cs122a-2018-spring?action=diff&version=89', 7.786714295032299), ('https://grape.ics.uci.edu/wiki/asterix/wiki/cs122a-2018-spring?version=89&format=txt', 7.786714295032299), ('https://grape.ics.uci.edu/wiki/asterix/wiki/cs122a-2019-spring?action=diff&version=1', 7.786714295032299), ('https://grape.ics.uci.edu/wiki/asterix/wiki/cs122a-2018-spring?version=93&format=txt', 7.786714295032299), ('https://grape.ics.uci.edu/wiki/asterix/wiki/cs122a-2018-spring?format=txt', 7.786714295032299), ('https://grape.ics.uci.edu/wiki/asterix/wiki/cs122a-2018-spring?version=96&format=txt', 7.786714295032299), ('https://grape.ics.uci.edu/wiki/asterix/wiki/cs122a-2018-spring?version=91&format=txt', 7.786714295032299), ('https://grape.ics.uci.edu/wiki/asterix/wiki/cs122a-2018-spring?version=92&format=txt', 7.786714295032299), ('https://grape.ics.uci.edu/wiki/asterix/wiki/cs122a-2019-spring?version=3&format=txt', 7.786714295032299), ('https://grape.ics.uci.edu/wiki/asterix/wiki/cs122a-2019-spring?version=4&format=txt', 7.786714295032299), ('https://grape.ics.uci.edu/wiki/asterix/wiki/cs122a-2018-spring?action=diff&version=92', 7.786714295032299), ('https://grape.ics.uci.edu/wiki/asterix/wiki/cs122a-2019-spring?version=1&format=txt', 7.786714295032299)]
bk:[('https://www.ics.uci.edu/~eppstein/180a/970408.html', 14.150069772957172), ('https://cbcl.ics.uci.edu/lib/exe/css.php?t=centered-cbcl&tseed=358bf243a3b71e23e8f1a0456db14afa', 8.357259153499912), ('https://cbcl.ics.uci.edu/lib/exe/css.php?t=centered-cbcl&tseed=9e32c19a82c10e185637144811c5fcd1', 8.357259153499912), ('https://cbcl.ics.uci.edu/public_data/shilab/ChIPseq_elmira_08272016/homer-motifs/P4-promoters-motifs/pfam.txt', 8.357259153499912), ('https://cbcl.ics.uci.edu/public_data/shilab/ChIPseq_elmira_08272016/homer-motifs/P2-promoters-motifs/pfam.txt', 8.357259153499912), ('http://flamingo.ics.uci.edu/releases/4.1/src/lbaktree/data/data.txt', 8.357259153499912), ('http://flamingo.ics.uci.edu/releases/4.0/src/lbaktree/data/data.txt', 8.357259153499912), ('https://grape.ics.uci.edu/wiki/public/raw-attachment/wiki/cs122b-2017-winter-project1/data.sql', 8.357259153499912), ('https://grape.ics.uci.edu/wiki/public/raw-attachment/wiki/cs122b-2017-spring-project1/data.sql', 8.357259153499912), ('http://hai.ics.uci.edu/publications.html', 8.357259153499912), ('https://www.ics.uci.edu/~eppstein/180a/proposal.html', 8.357259153499912), ('https://www.ics.uci.edu/~kay/wordlist.txt', 8.357259153499912), ('https://www.ics.uci.edu/~eppstein/163/w13-hw8.txt', 8.357259153499912)]
bkg:[('https://frost.ics.uci.edu/Ucigame/Ucigame-20101216/reference.html', 25.999015503187348), ('https://frost.ics.uci.edu/Ucigame/Ucigame-20101216/Gallery/PongWithScenes.html', 15.767891282098136), ('https://frost.ics.uci.edu/Ucigame/Ucigame-20101216/Gallery/Pong.html', 15.767891282098136), ('https://frost.ics.uci.edu/Ucigame/Ucigame-20101216/Gallery/Tank.html', 15.767891282098136), ('https://www.ics.uci.edu/~eppstein/180a/970401.html', 9.312770598527349)]
bkm98:[('http://archive.ics.uci.edu/ml/support/Chess+(King-Rook+vs.+King-Pawn)', 15.767891282098136), ('http://archive.ics.uci.edu/ml/support/Chess+(King-Rook+vs.+King)', 15.767891282098136), ('http://archive.ics.uci.edu/ml/support/Chess+(King-Rook+vs.+King-Knight)', 15.767891282098136), ('http://archive.ics.uci.edu/ml/support/Reuters-21578+Text+Categorization+Collection', 9.312770598527349), ('http://archive.ics.uci.edu/ml/support/Adult', 9.312770598527349)]
bka:[('https://www.ics.uci.edu/~kobsa/privacy/Austrian-english.htm', 20.615919751018424), ('https://www.ics.uci.edu/~dan/genealogy/Krakow/other/k26.txt', 20.615919751018424), ('https://www.ics.uci.edu/~kobsa/privacy/intlprivlawsurvey.html', 9.82359622229334)]
bkgd:[('https://www.ics.uci.edu/~eppstein/pix/tanaka/Vista.html', 15.459194052257152), ('https://www.ics.uci.edu/~eppstein/pix/heartbreakers/fireeagles/WaldenRacesEagle.html', 9.130449041733394), ('https://www.ics.uci.edu/~eppstein/pix/hotshots/gd2/BrittanyBatting.html', 9.130449041733394), ('https://www.ics.uci.edu/~eppstein/pix/hotshots/bd/KaylaPitching2.html', 9.130449041733394), ('https://www.ics.uci.edu/~eppstein/pix/tanaka/GolfCourse.html', 9.130449041733394), ('https://www.ics.uci.edu/~eppstein/pix/hotshots/bd/LindseySafe1st.html', 9.130449041733394)]
bklyn:[('https://www.ics.uci.edu/~dan/genealogy/Miller/langsam/ychsq4.prn', 9.82359622229334), ('https://www.ics.uci.edu/~dan/genealogy/Miller/langsam/debie1.htm', 9.82359622229334), ('https://www.ics.uci.edu/~dan/genealogy/', 9.82359622229334)]
bkchannelb:[('https://cbcl.ics.uci.edu/public_data/shilab/ChIPseq_elmira_08272016/homer-motifs/P2-promoters-motifs/prints.txt', 10.229061330401503), ('https://cbcl.ics.uci.edu/public_data/shilab/ChIPseq_elmira_08272016/homer-motifs/P4-promoters-motifs/prints.txt', 10.229061330401503)]
bkchannela:[('https://cbcl.ics.uci.edu/public_data/shilab/ChIPseq_elmira_08272016/homer-motifs/P2-promoters-motifs/prints.txt', 10.229061330401503), ('https://cbcl.ics.uci.edu/public_data/shilab/ChIPseq_elmira_08272016/homer-motifs/P4-promoters-motifs/prints.txt', 10.229061330401503)]
bkgbikb18e2b7:[('https://cbcl.ics.uci.edu/lib/exe/css.php?t=centered-cbcl&tseed=358bf243a3b71e23e8f1a0456db14afa', 10.229061330401503), ('https://cbcl.ics.uci.edu/lib/exe/css.php?t=centered-cbcl&tseed=9e32c19a82c10e185637144811c5fcd1', 10.229061330401503)]
bkpg:[('http://flamingo.ics.uci.edu/releases/4.1/src/lbaktree/data/data.txt', 10.229061330401503), ('http://flamingo.ics.uci.edu/releases/4.0/src/lbaktree/data/data.txt', 10.229061330401503)]
bkowski:[('https://www.ics.uci.edu/~dan/genealogy/Krakow/other/k26.txt', 18.492906545822215)]
bksadecvaauxxmzgfpaoibcigkh4gp4b0qjqabrtfz:[('https://www.ics.uci.edu/~kay/courses/10/hw/TagGame.xml', 18.492906545822215)]
bkarlik:[('http://archive.ics.uci.edu/ml/datasets/Perfume+Data', 10.922208510961449)]
bkpressed:[('https://frost.ics.uci.edu/Ucigame/Ucigame-20101216/reference.html', 10.922208510961449)]
bk3i8kauzjxhjkbcc9wj8dh:[('https://www.ics.uci.edu/~kkask/Spring-2018%20CS273P/Demos/Intro_Tutorial.ipynb', 10.922208510961449)]
bkto4oum78qcapy3p6:[('https://www.ics.uci.edu/~kkask/Spring-2018%20CS273P/Demos/Intro_Tutorial.ipynb', 10.922208510961449)]
bkociqj3tdjmx5glp169p79:[('https://www.ics.uci.edu/~kkask/Spring-2018%20CS273P/Demos/Intro_Tutorial.ipynb', 10.922208510961449)]
bkk7k2bt68gfmc4xpafemp:[('https://www.ics.uci.edu/~kkask/Spring-2018%20CS273P/Demos/Intro_Tutorial.ipynb', 10.922208510961449)]
bkcl33jor3kn82ljrfmpf:[('https://www.ics.uci.edu/~kkask/Spring-2018%20CS273P/Demos/Intro_Tutorial.ipynb', 10.922208510961449)]
bkiitdpbnrtlala4cpqujxmng3lytmojk:[('https://www.ics.uci.edu/~kkask/Spring-2018%20CS273P/Demos/Intro_Tutorial.ipynb', 10.922208510961449)]
bkwx3igti2ldb5cxvavg:[('https://www.ics.uci.edu/~kkask/Spring-2018%20CS273P/Demos/Intro_Tutorial.ipynb', 10.922208510961449)]
bkjvx3nj10:[('https://www.ics.uci.edu/~kkask/Spring-2018%20CS273P/Demos/Intro_Tutorial.ipynb', 10.922208510961449)]
bkowska:[('https://www.ics.uci.edu/~dan/genealogy/Krakow/other/k26.txt', 10.922208510961449)]
bkoehne:[('https://www.ics.uci.edu/~andre/informatics121f2013.html', 10.922208510961449)]
bkcy:[('https://www.ics.uci.edu/~kay/wordlist.txt', 10.922208510961449)]
bkq7ldiafua9lc61v:[('https://www.ics.uci.edu/~kay/courses/10/hw/hw7-lists.xml', 10.922208510961449)]
